order_id,customer_id,product_id,amount,order_date,region,order_year,order_month
O001,C001,P001,1200,2026-01-03,East,2026,01
O002,C002,P002,800,2026-01-04,Central,2026,01
O003,C001,P003,450,2026-01-05,East,2026,01
O004,C003,P004,300,2026-01-06,East,2026,01
O005,C004,P005,150,2026-02-07,West,2026,02
O006,C005,P006,650,2026-02-08,East,2026,02
O007,C006,P007,90,2026-02-09,Central,2026,02
O008,C001,P001,1100,2026-03-10,East,2026,03
O009,C001,P003,500,2026-03-11,East,2026,03
O010,C009,P002,950,2026-03-12,East,2026,03
