entrytime,temp,pressure
9:03 AM,71,170
9:02 AM,67,150
9:04 AM,72,154
9:04 AM,76,157
9:03 AM,77,163
9:04 AM,72,165
9:00 AM,67,155
9:03 AM,75,152
9:00 AM,74,173
9:00 AM,75,166
9:03 AM,72,168
9:00 AM,68,150
9:04 AM,69,167
9:03 AM,74,160
9:01 AM,72,154
9:04 AM,68,162
9:01 AM,77,165
9:03 AM,76,167
9:02 AM,68,174
9:03 AM,68,156
9:03 AM,72,163
9:04 AM,67,152
9:00 AM,70,158
9:02 AM,71,169
9:02 AM,76,171
9:00 AM,68,155
9:00 AM,71,174
9:00 AM,74,168
9:01 AM,66,166
9:00 AM,74,165
9:01 AM,75,168
9:01 AM,66,159
9:02 AM,73,166
9:02 AM,66,170
9:04 AM,71,155
9:02 AM,77,164
9:03 AM,68,175
9:03 AM,74,150
9:02 AM,69,159
9:01 AM,73,171
9:02 AM,74,163
9:02 AM,74,170
9:01 AM,73,156
9:01 AM,72,153
9:00 AM,66,158
9:01 AM,77,171
9:02 AM,77,156
9:01 AM,66,161
9:01 AM,74,167
9:00 AM,68,170
9:04 AM,76,175
9:03 AM,77,174
9:03 AM,71,174
9:03 AM,76,152
9:02 AM,72,155
9:00 AM,68,165
9:00 AM,76,172
9:03 AM,66,171
9:00 AM,67,162
9:00 AM,67,165
9:01 AM,68,173
9:04 AM,69,165
9:02 AM,72,153
9:02 AM,76,155
9:02 AM,69,161
9:01 AM,74,160
9:03 AM,73,163
9:00 AM,68,169
9:00 AM,75,159
9:03 AM,76,153
9:00 AM,67,153
9:00 AM,66,155
9:00 AM,66,172
9:00 AM,68,157
9:01 AM,77,150
9:01 AM,77,158
9:00 AM,67,161
9:03 AM,69,170
9:04 AM,77,156
9:03 AM,76,174
9:04 AM,77,156
9:03 AM,69,156
9:01 AM,71,154
9:00 AM,74,160
9:00 AM,72,157
9:04 AM,73,154
9:04 AM,68,168
9:04 AM,66,173
9:00 AM,66,165
9:02 AM,74,157
9:03 AM,75,172
9:02 AM,75,152
9:00 AM,67,152
9:01 AM,70,174
9:02 AM,71,160
9:02 AM,69,154
9:04 AM,76,153
9:02 AM,69,156
9:01 AM,71,163
9:04 AM,69,151
9:01 AM,71,163
9:03 AM,68,162
9:04 AM,77,156
9:02 AM,74,161
9:02 AM,73,170
9:00 AM,76,166
9:00 AM,73,156
9:00 AM,76,161
9:04 AM,69,160
9:01 AM,68,159
9:03 AM,76,175
9:04 AM,74,161
9:01 AM,69,157
9:01 AM,70,164
9:04 AM,74,160
9:03 AM,67,154
9:04 AM,77,162
9:03 AM,76,164
9:02 AM,72,167
9:02 AM,68,159
9:00 AM,77,157
9:03 AM,71,172
9:01 AM,70,160
9:00 AM,69,159
9:04 AM,75,162
9:00 AM,70,161
9:03 AM,73,150
9:01 AM,75,174
9:01 AM,68,172
9:00 AM,71,164
9:04 AM,68,170
9:00 AM,66,159
9:00 AM,76,162
9:03 AM,77,156
9:01 AM,72,171
9:04 AM,66,161
9:04 AM,66,159
9:01 AM,70,168
9:01 AM,72,159
9:01 AM,75,153
9:01 AM,72,154
9:02 AM,72,162
9:01 AM,70,155
9:02 AM,75,158
9:01 AM,68,156
9:02 AM,72,165
9:03 AM,67,151
9:01 AM,70,162
9:04 AM,74,151
9:00 AM,73,174
9:00 AM,72,155
9:02 AM,70,173
9:04 AM,72,167
9:02 AM,72,161
9:03 AM,66,157
9:02 AM,75,173
9:01 AM,73,174
9:04 AM,68,171
9:02 AM,76,151
9:01 AM,71,151
9:04 AM,76,174
9:03 AM,74,172
9:03 AM,75,151
9:02 AM,69,173
9:01 AM,66,152
9:01 AM,70,167
9:00 AM,73,158
9:02 AM,71,170
9:04 AM,77,155
9:00 AM,74,154
9:03 AM,67,159
9:01 AM,75,162
9:04 AM,72,164
9:03 AM,70,175
9:02 AM,73,162
9:03 AM,75,163
9:00 AM,70,155
9:00 AM,66,170
9:01 AM,75,157
9:02 AM,70,158
9:01 AM,70,168
9:01 AM,77,169
9:01 AM,74,166
9:03 AM,71,165
9:02 AM,66,175
9:02 AM,72,168
9:01 AM,69,151
9:05 AM,74,158
9:00 AM,75,158
