customerid,item,price
1,Sports,$53.13
2,Tools,$23.14
3,Shoes,$59.93
4,Music,$90.25
5,Electronics,$84.69
6,Home,$11.15
7,Tools,$13.30
8,Beauty,$80.43
9,Automotive,$33.32
10,Jewelery,$34.13
11,Grocery,$24.20
12,Garden,$55.43
55,Movies,$55.02
55,Movies,$47.16
55,Games,$69.88
55,Music,$25.71
55,Shoes,$29.40
55,Computers,$38.24
55,Clothing,$26.81
55,Computers,$90.74
55,Games,$48.44
55,Computers,$59.32
55,Home,$21.76
55,Music,$70.43
55,Sports,$92.46
55,Sports,$59.11
55,Jewelery,$70.70
55,Shoes,$88.74
55,Sports,$53.67
13,Movies,$70.41
14,Shoes,$35.15
15,Shoes,$0.16
16,Grocery,$3.89
17,Home,$40.58
18,Kids,$1.03
19,Automotive,$60.50
20,Automotive,$72.96
21,Electronics,$32.52
22,Baby,$74.06
23,Games,$80.73
24,Music,$38.46
25,Garden,$28.99
26,Industrial,$67.68
27,Books,$53.50
28,Games,$49.78
29,Automotive,$96.84
30,Tools,$17.08
31,Jewelery,$35.92
32,Tools,$81.18
33,Shoes,$67.03
34,Music,$48.44
35,Electronics,$17.69
36,Computers,$69.37
37,Baby,$66.95
38,Electronics,$33.17
39,Electronics,$15.09
40,Computers,$39.65
41,Toys,$5.11
42,Toys,$38.57
43,Tools,$83.49
44,Industrial,$88.21
45,Tools,$91.18
46,Jewelery,$54.85
47,Games,$21.31
48,Movies,$48.11
49,Toys,$64.03
50,Movies,$74.60
51,Clothing,$50.84
52,Garden,$80.79
53,Home,$14.16
54,Automotive,$90.14
55,Music,$37.67
56,Clothing,$89.46
57,Industrial,$57.66
58,Tools,$46.62
59,Books,$26.57
60,Kids,$33.07
61,Computers,$69.65
62,Electronics,$76.85
63,Tools,$15.58
64,Sports,$97.36
65,Industrial,$96.29
66,Beauty,$28.71
67,Baby,$26.44
68,Computers,$19.67
69,Books,$27.41
70,Outdoors,$44.13
71,Outdoors,$10.74
72,Home,$20.23
73,Kids,$81.76
74,Beauty,$11.31
75,Movies,$67.97
76,Tools,$8.62
77,Industrial,$15.44
78,Tools,$29.40
79,Tools,$9.54
80,Grocery,$55.35
81,Grocery,$71.15
82,Grocery,$51.59
83,Shoes,$7.12
84,Sports,$83.93
85,Sports,$88.25
86,Grocery,$73.42
87,Electronics,$74.93
88,Baby,$50.56
89,Outdoors,$23.49
90,Movies,$66.24
91,Beauty,$4.63
92,Garden,$24.61
93,Movies,$75.67
94,Baby,$19.61
95,Outdoors,$43.87
96,Books,$79.38
97,Industrial,$38.62
98,Computers,$98.54
99,Home,$88.06
100,Books,$29.28
101,Clothing,$3.01
102,Books,$63.69
103,Games,$72.78
104,Grocery,$12.21
105,Home,$69.35
106,Tools,$60.63
107,Home,$48.15
